Tipo,ID,Temp_media,Temp_max,Temp_min,num_arboles,area_km2,densidad_arboles
Urbano,0,38.236098122595074,43.35808426451429,34.34996686941663,504,0.21651927660133832,2327.737317024108
Urbano,1,35.35539136067788,45.37322997145935,29.804594619114958,5090,0.3991589320578407,12751.812852486604
Urbano,2,40.93097673402525,43.168012633127574,35.65104351648355,74,0.06482239727898606,1141.5807360766817
Urbano,3,38.75081324102823,41.697966789117295,35.24459646071121,321,0.24837077299378646,1292.4225992082834
Urbano,4,36.941627130761994,42.533003903316924,30.275538443553433,58,0.11706931033448546,495.4330031866154
Urbano,5,37.662225676243914,39.99965660131413,31.789572627580267,444,0.33523912046708854,1324.4277678016067
Urbano,6,40.11620444430476,43.085682923522874,35.80203083518429,118,0.4053576223833419,291.10097722156263
Urbano,7,35.000279333576756,40.001588554331285,24.4350338072752,145,0.3019729665498934,480.1754331079912
Urbano,8,38.888899812800645,40.408481555704846,36.63825697453212,52,0.07773173639840227,668.9674309278498
Urbano,9,31.31485910372493,38.13594406130904,27.289674975354977,1579,0.9111663620140997,1732.9436926421192
Urbano,10,33.43278916885531,37.56706673634852,26.076277873737286,55,0.3695926700771454,148.8124750648323
Urbano,11,28.972529987347194,35.763392317259274,22.462390481328146,1133,0.9108599508053387,1243.8794778475612
Urbano,12,35.48061995081138,38.93427471413681,31.5904358040294,723,0.4829491222854218,1497.0521047405666
Urbano,13,39.26839887033497,42.54608152849314,33.592355174172916,327,0.37546846718358784,870.9120168008973
Urbano,14,35.90337701692347,40.51087361774204,30.16512144367699,586,0.3824011847886041,1532.4220303447746
Urbano,15,42.045449060747316,47.44350980102796,35.25470189770552,480,0.4016538893899039,1195.0587624810523
Urbano,16,39.43273328377948,44.35733491485524,34.99790446658078,1131,0.6050483800022948,1869.2720076297212
Urbano,17,42.23604940721448,48.64486953486032,33.819282083057935,1298,1.0370034509824069,1251.683394853062
Urbano,18,36.60777813202419,40.38232635430327,31.640814368719877,2105,0.6220528589610768,3383.9567967192875
Urbano,19,36.6370271964425,40.21662653533586,28.34866678559062,506,0.41337130244702514,1224.0811033679474
Urbano,20,36.080214311529794,39.81686687806472,31.342109151247893,447,0.2364370020561793,1890.567026787919
Urbano,21,30.34921523257797,36.35158896405615,22.96454217378377,442,0.2647188267781199,1669.6961276973032
Urbano,22,34.40173963424551,38.54179688076896,26.401584235486816,560,0.6412811671641409,873.251903648472
